Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Ticker
2021-08-30,752.2764018799809,785.6114011696361,750.2862526686582,780.188232421875,12517507,0.0,0.0,AXISBANK.NS
2021-08-31,781.0340646287001,785.1138461259089,774.5660798380558,782.6261596679688,12114870,0.0,0.0,AXISBANK.NS
2021-09-01,794.1689796573907,814.9660621927519,791.4823269410833,794.965087890625,19972195,0.0,0.0,AXISBANK.NS
2021-09-02,791.5818496108068,802.1296161477594,788.4971426239246,798.7463989257812,6799617,0.0,0.0,AXISBANK.NS
2021-09-03,800.5375038472034,805.9109309014577,783.8202629616264,794.0695190429688,7509746,0.0,0.0,AXISBANK.NS
2021-09-06,796.9053934338381,801.9305682742227,791.4324836536019,796.8556518554688,4539192,0.0,0.0,AXISBANK.NS
2021-09-07,794.0695136880357,795.4626423918277,778.1980620131541,783.969482421875,6926921,0.0,0.0,AXISBANK.NS
2021-09-08,786.1088433388771,793.4226165115738,779.1433219422036,790.7857055664062,5903035,0.0,0.0,AXISBANK.NS
2021-09-09,785.113818686467,789.7906812108463,780.33747300106,786.2581787109375,4909325,0.0,0.0,AXISBANK.NS
2021-09-13,782.1285791331064,786.5566729303206,779.6408928127086,784.4669799804688,4814443,0.0,0.0,AXISBANK.NS
2021-09-14,787.1039659020626,797.0547113622656,786.1088913560422,790.4872436523438,6301208,0.0,0.0,AXISBANK.NS
2021-09-15,792.0792713540905,793.5221414701706,783.1236012005894,787.501953125,4075592,0.0,0.0,AXISBANK.NS
2021-09-16,788.5965611410913,803.4729374382297,785.2132834619425,798.6467895507812,15446511,0.0,0.0,AXISBANK.NS
2021-09-17,804.8660860584473,816.6577568042612,793.3232447033942,803.3734741210938,14641298,0.0,0.0,AXISBANK.NS
2021-09-20,796.0595760201963,804.567450592007,787.6014430249818,791.9299926757812,6306484,0.0,0.0,AXISBANK.NS
2021-09-21,791.3330729864921,795.0646027239324,768.4960988464512,791.4325561523438,7833561,0.0,0.0,AXISBANK.NS
2021-09-22,788.5965635661411,792.8753718903196,782.1285791331064,784.4669799804688,4359142,0.0,0.0,AXISBANK.NS
2021-09-23,790.4374055681802,810.4881810569547,788.6462836133024,808.1497802734375,9043492,0.0,0.0,AXISBANK.NS
2021-09-24,808.5478442192924,812.9261966996926,791.1837805142169,794.1192626953125,5184626,0.0,0.0,AXISBANK.NS
2021-09-27,798.9454252896911,804.8163290231837,788.8951353304026,793.0247192382812,7715259,0.0,0.0,AXISBANK.NS
2021-09-28,798.0498086155004,801.6320527892883,774.1680188314954,785.3128662109375,7369680,0.0,0.0,AXISBANK.NS
2021-09-29,779.1433965214761,785.6113812946429,774.6655609092837,778.297607421875,14241004,0.0,0.0,AXISBANK.NS
2021-09-30,776.0586341684406,783.4718906757867,761.0827142144722,762.7743530273438,9178187,0.0,0.0,AXISBANK.NS
2021-10-01,759.6399728054583,767.8990798262836,750.2862472855387,764.3665771484375,6089895,0.0,0.0,AXISBANK.NS
2021-10-04,767.3019725821903,777.3025205455175,766.5059250772994,775.1630859375,5845527,0.0,0.0,AXISBANK.NS
2021-10-05,770.5857377617426,780.138428924145,767.4014871294321,778.7453002929688,3945224,0.0,0.0,AXISBANK.NS
