,HDFC Bank,State Bank of India (SBI),ICICI Bank,Kotak Mahindra Bank,Axis Bank,Nifty Bank Index
HDFC Bank,1.0,0.40691038997722245,0.5005209854851521,0.4748313368943847,0.4529863472338539,0.7811656551896512
State Bank of India (SBI),0.40691038997722245,1.0,0.5108774435815483,0.37399569507737745,0.5306084221073462,0.739087630756633
ICICI Bank,0.5005209854851521,0.5108774435815483,1.0,0.4520179910035623,0.5766547696867481,0.780081113659003
Kotak Mahindra Bank,0.4748313368943847,0.37399569507737745,0.4520179910035623,1.0,0.4093083516958606,0.6458379083696978
Axis Bank,0.4529863472338539,0.5306084221073462,0.5766547696867481,0.4093083516958606,1.0,0.7361421080827901
Nifty Bank Index,0.7811656551896512,0.739087630756633,0.780081113659003,0.6458379083696978,0.7361421080827901,1.0
