Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Ticker
2021-08-30,727.8632353130765,734.6009882849862,725.9916404384651,733.7821655273438,9049166,0.0,0.0,HDFCBANK.NS
2021-08-31,731.5596599538288,740.8474382651433,730.9513687618706,739.93505859375,12062576,0.0,0.0,HDFCBANK.NS
2021-09-01,736.9405133137502,747.702184301824,736.7065639444443,738.85888671875,12422558,0.0,0.0,HDFCBANK.NS
2021-09-02,736.5193863022039,744.8947850702093,735.1858863326421,743.4910888671875,9618524,0.0,0.0,HDFCBANK.NS
2021-09-03,742.1341103203025,747.7021162261457,733.8055478012244,737.4317626953125,10735334,0.0,0.0,HDFCBANK.NS
2021-09-06,739.2565458922177,739.724444603404,730.8343690908638,732.5889892578125,7876896,0.0,0.0,HDFCBANK.NS
2021-09-07,731.0917446980607,740.2157696718924,727.6760612202143,734.2500610351562,7245496,0.0,0.0,HDFCBANK.NS
2021-09-08,735.5133974033473,739.5139544547029,732.5422518441904,737.5955810546875,6724080,0.0,0.0,HDFCBANK.NS
2021-09-09,736.4725873700415,739.0226125546611,730.3899039927794,733.9459228515625,8250948,0.0,0.0,HDFCBANK.NS
2021-09-13,730.8577675105819,741.1515388839704,726.9508247989902,727.83984375,8959164,0.0,0.0,HDFCBANK.NS
2021-09-14,729.9219926150045,732.0275368244709,723.6521384346185,724.5645751953125,9758506,0.0,0.0,HDFCBANK.NS
2021-09-15,718.2245606360663,727.4889784667846,718.2245606360663,723.7457885742188,14822998,0.0,0.0,HDFCBANK.NS
2021-09-16,719.5112312007644,731.9339646234694,718.8328009274061,729.8985595703125,10260550,0.0,0.0,HDFCBANK.NS
2021-09-17,734.1331308228171,743.4911057217695,729.547700275712,740.2860107421875,20498102,0.0,0.0,HDFCBANK.NS
2021-09-20,731.7935977510607,740.0753822447209,728.9862054323227,729.851806640625,8781610,0.0,0.0,HDFCBANK.NS
2021-09-21,730.8577390590561,733.9692767081914,715.393664819418,726.1553344726562,14774996,0.0,0.0,HDFCBANK.NS
2021-09-22,724.7751455141527,725.3132404864232,715.8850694878332,717.6162719726562,10582202,0.0,0.0,HDFCBANK.NS
2021-09-23,721.4998486172622,735.5368106526174,721.4998486172622,734.6010131835938,13664304,0.0,0.0,HDFCBANK.NS
