Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Ticker
2021-08-30,677.6656622286431,687.7657182306314,674.2028093692373,686.4671630859375,10797869,0.0,0.0,ICICIBANK.NS
2021-08-31,686.803864385746,692.4791578977184,682.3309585915356,691.6614990234375,19760246,0.0,0.0,ICICIBANK.NS
2021-09-01,699.8858486962628,706.8116139838213,689.8820176900919,692.4791870117188,13729351,0.0,0.0,ICICIBANK.NS
2021-09-02,694.7876956272153,700.3186790376726,690.1705386092486,697.5291748046875,8627956,0.0,0.0,ICICIBANK.NS
2021-09-03,697.1444191847074,703.925874369514,693.6334234618353,696.7115478515625,8993813,0.0,0.0,ICICIBANK.NS
2021-09-06,697.7695752407411,700.2705178919373,692.5752374755424,693.6814575195312,5329995,0.0,0.0,ICICIBANK.NS
2021-09-07,693.4410856184164,694.9320346841002,684.5434162818343,689.5934448242188,6242711,0.0,0.0,ICICIBANK.NS
2021-09-08,689.2085631658193,695.2205010859677,687.7656980649837,693.4890747070312,7118011,0.0,0.0,ICICIBANK.NS
2021-09-09,693.344834746782,696.3267914825784,690.266710478682,692.8157958984375,6243422,0.0,0.0,ICICIBANK.NS
2021-09-13,690.555379711491,690.555379711491,678.3391080110895,680.455322265625,6967906,0.0,0.0,ICICIBANK.NS
2021-09-14,686.0823626044692,686.8037951624129,679.5894695829758,680.5032958984375,5241865,0.0,0.0,ICICIBANK.NS
2021-09-15,680.1665938172648,688.727617010042,679.3970774956327,687.1404418945312,5936741,0.0,0.0,ICICIBANK.NS
2021-09-16,692.5752731243462,701.6172515631584,685.6975924140474,699.5010375976562,13557169,0.0,0.0,ICICIBANK.NS
2021-09-17,704.984020781181,706.4268861051619,686.8038942148861,692.7196655273438,17075003,0.0,0.0,ICICIBANK.NS
2021-09-20,682.9561767578125,692.9600653662858,679.589491379429,682.9561767578125,7943459,0.0,0.0,ICICIBANK.NS
2021-09-21,684.0624276357428,687.2848031587205,667.9504326001814,684.7357177734375,10009615,0.0,0.0,ICICIBANK.NS
2021-09-22,687.7657864853312,687.7657864853312,675.5014315515018,676.5595092773438,9740470,0.0,0.0,ICICIBANK.NS
2021-09-23,683.918114315017,692.5753056354603,680.2147837342951,689.6895751953125,10412491,0.0,0.0,ICICIBANK.NS
2021-09-24,695.0762600840396,697.0000804094428,689.2567153417624,695.4129638671875,11780868,0.0,0.0,ICICIBANK.NS
2021-09-27,696.9038912420403,703.8777397051249,694.7876772077269,702.1943969726562,7712240,0.0,0.0,ICICIBANK.NS
2021-09-28,706.1381917820847,707.3887218995771,679.6856636254017,689.8338623046875,13491800,0.0,0.0,ICICIBANK.NS
2021-09-29,680.4070895159849,684.8319112266702,674.5875451208484,682.4752197265625,11453404,0.0,0.0,ICICIBANK.NS
2021-09-30,682.5713763733572,686.7076367285839,672.1827591435228,674.1546630859375,18487517,0.0,0.0,ICICIBANK.NS
2021-10-01,666.6037196580726,668.3832299132855,661.6980014823853,665.9784545898438,10935810,0.0,0.0,ICICIBANK.NS
2021-10-04,670.4993788477985,676.5594003324971,667.6136487398155,673.5294189453125,8976533,0.0,0.0,ICICIBANK.NS
2021-10-05,666.6037382305285,672.3751991675894,665.4975180667906,670.5475463867188,7497208,0.0,0.0,ICICIBANK.NS
2021-10-06,670.0665375889104,678.1466057371454,662.1307794366672,663.2369995117188,13200810,0.0,0.0,ICICIBANK.NS
2021-10-07,670.9804024964559,678.0985609750206,667.0365944296218,675.4533081054688,10041549,0.0,0.0,ICICIBANK.NS
2021-10-08,679.1085478197504,682.9561883173127,671.7018281198759,676.6076049804688,9383924,0.0,0.0,ICICIBANK.NS
2021-10-11,675.2609202917469,691.998180261745,673.625661306808,686.1304931640625,9337637,0.0,0.0,ICICIBANK.NS
2021-10-12,679.5894484199508,685.8418637274239,677.5694608047454,681.6094360351562,7376091,0.0,0.0,ICICIBANK.NS
2021-10-13,686.6594951845259,688.6314578399403,680.9842608721038,682.9080810546875,6357766,0.0,0.0,ICICIBANK.NS
2021-10-14,683.1966729545271,702.0020043398955,682.0423690511852,699.5972290039062,8950350,0.0,0.0,ICICIBANK.NS
2021-10-18,710.8515762086283,720.3745098476543,704.1662891558037,717.055908203125,15345601,0.0,0.0,ICICIBANK.NS
2021-10-19,726.2422076981952,726.2422076981952,710.6111668040288,718.9797973632812,11349799,0.0,0.0,ICICIBANK.NS
2021-10-20,718.3063553528533,728.5988049955231,713.6411149287688,717.4406127929688,12762996,0.0,0.0,ICICIBANK.NS
2021-10-21,720.3745002944903,730.9073689639233,709.3125340996456,726.7230834960938,12166996,0.0,0.0,ICICIBANK.NS
2021-10-22,729.6087795934703,736.6787950414567,724.654919306561,730.3782958984375,13248928,0.0,0.0,ICICIBANK.NS
2021-10-25,769.5280482172651,833.9760222554611,767.9890156049629,809.6397094726562,96124084,0.0,0.0,ICICIBANK.NS
2021-10-26,797.1348787547508,809.6397095393108,791.0267146453249,797.8082275390625,16925115,0.0,0.0,ICICIBANK.NS
2021-10-27,797.183008068336,816.6616879034899,792.8063287857138,803.1949462890625,22898400,0.0,0.0,ICICIBANK.NS
2021-10-28,798.4815924244681,800.2611614290471,765.9209573150523,768.2776489257812,18750423,0.0,0.0,ICICIBANK.NS
2021-10-29,767.6042757560868,777.9448095460341,754.0413665482897,771.5,15701200,0.0,0.0,ICICIBANK.NS
2021-11-01,776.9347875975039,778.8586077680014,762.7946976022804,773.279541015625,11406421,0.0,0.0,ICICIBANK.NS
2021-11-02,778.1853206241216,779.1472307855852,767.604308848021,770.4419555664062,9452457,0.0,0.0,ICICIBANK.NS
2021-11-03,775.2995301314241,775.2995301314241,750.7227391503419,756.0132446289062,11839149,0.0,0.0,ICICIBANK.NS
2021-11-04,758.4661236923016,758.9470787485428,749.3279776237197,752.3098754882812,3149310,0.0,0.0,ICICIBANK.NS
2021-11-08,762.7947256676549,762.7947256676549,743.7008332570813,750.4342041015625,13967995,0.0,0.0,ICICIBANK.NS
2021-11-09,754.1375948400054,758.5623582643697,749.5204376340731,756.5904541015625,10084357,0.0,0.0,ICICIBANK.NS
2021-11-10,752.742817291657,754.4261601461827,743.6527541351509,751.1557006835938,9507347,0.0,0.0,ICICIBANK.NS
2021-11-11,747.115579737698,747.4041410230534,736.9192975425867,742.0655517578125,9221059,0.0,0.0,ICICIBANK.NS
2021-11-12,743.267994769798,750.1937596861887,741.8251295251473,747.0194091796875,15380106,0.0,0.0,ICICIBANK.NS
2021-11-15,747.4042333284161,754.6666436733875,742.161810940737,743.8451538085938,10934583,0.0,0.0,ICICIBANK.NS
2021-11-16,743.8450559693728,746.2017474164606,732.9754837658305,734.9473876953125,12785837,0.0,0.0,ICICIBANK.NS
2021-11-17,731.9173952219124,742.5464897457188,727.4925736768888,732.3021240234375,11657214,0.0,0.0,ICICIBANK.NS
2021-11-18,735.7651289767874,738.2660719906005,727.5888923488785,733.84130859375,20644385,0.0,0.0,ICICIBANK.NS
2021-11-22,739.0355069285229,741.1036370964275,712.0539407730103,723.3563842773438,20403786,0.0,0.0,ICICIBANK.NS
2021-11-23,712.7273121306753,729.0797841012621,703.3486885004858,723.2120971679688,24913042,0.0,0.0,ICICIBANK.NS
2021-11-24,721.6731224604313,742.835146711187,718.2583530165816,731.244140625,23186419,0.0,0.0,ICICIBANK.NS
2021-11-25,726.1459550140722,726.1940387768095,716.9115828655152,722.4425659179688,17749726,0.0,0.0,ICICIBANK.NS
2021-11-26,710.8516072435933,713.7854214854136,691.2286165229643,694.6915283203125,18987552,0.0,0.0,ICICIBANK.NS
2021-11-29,699.068180914518,700.0300910361755,683.4371414375852,691.0362548828125,15878074,0.0,0.0,ICICIBANK.NS
2021-11-30,689.4490495697592,704.4067395658299,684.0142341357566,687.1404418945312,23965914,0.0,0.0,ICICIBANK.NS
2021-12-01,689.1124822799538,704.8396903721886,687.7657845323982,699.9820556640625,15214913,0.0,0.0,ICICIBANK.NS
2021-12-02,697.0001277012248,699.4049032711439,687.9582067845334,694.8839721679688,21924640,0.0,0.0,ICICIBANK.NS
2021-12-03,693.0562697626139,701.713461196151,687.8619314183568,689.0162353515625,20130259,0.0,0.0,ICICIBANK.NS
2021-12-06,691.6134396741168,699.1163275557735,680.5514722801636,682.5233764648438,20129080,0.0,0.0,ICICIBANK.NS
2021-12-07,689.6895601597341,712.7273194134128,684.8800095310052,706.6672973632812,30513303,0.0,0.0,ICICIBANK.NS
2021-12-08,719.4126192151085,729.8974045444193,715.7573137045512,724.703125,33432411,0.0,0.0,ICICIBANK.NS
2021-12-09,730.1378506329528,733.9374072750672,719.8935432805426,726.2421264648438,16007459,0.0,0.0,ICICIBANK.NS
2021-12-10,727.6850034769103,730.8592951207969,722.4425815974355,729.1278686523438,7627774,0.0,0.0,ICICIBANK.NS
2021-12-13,733.9374032665627,740.3822126519923,723.8373472583072,725.2802124023438,16855546,0.0,0.0,ICICIBANK.NS
2021-12-14,722.4426213111899,735.2360148279045,717.873548004482,729.753173828125,17488089,0.0,0.0,ICICIBANK.NS
2021-12-15,728.7430582731992,730.5707109222462,722.2983076599259,723.5968627929688,7358740,0.0,0.0,ICICIBANK.NS
2021-12-16,729.0317963686343,729.0317963686343,710.803585528847,712.9197998046875,14123215,0.0,0.0,ICICIBANK.NS
2021-12-17,713.7373237235854,713.7373237235854,698.3948452518806,700.5591430664062,13227787,0.0,0.0,ICICIBANK.NS
2021-12-20,690.7476130725161,692.7676594904285,671.6056374820087,682.9080810546875,16900016,0.0,0.0,ICICIBANK.NS
2021-12-21,692.5752812141857,701.18438846579,688.8719507640491,692.9119262695312,14563335,0.0,0.0,ICICIBANK.NS
2021-12-22,698.5871960267178,706.9558254698961,692.6233417850086,704.8876953125,9843359,0.0,0.0,ICICIBANK.NS
2021-12-23,710.8996272800058,711.3324985546611,700.2224489602753,703.44482421875,9994049,0.0,0.0,ICICIBANK.NS
