Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Ticker,Daily_Return,Log_Return,Cumulative_Return,SMA_20,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,BB_Middle,BB_Upper,BB_Lower,BB_Bandwidth,RSI_14,MACD,MACD_Signal,MACD_Hist,ATR_14,Volatility_30D_Ann,Volatility_90D_Ann,Drawdown
2021-08-30,677.6656622286431,687.7657182306314,674.2028093692373,686.4671630859375,10797869,0.0,0.0,ICICIBANK.NS,,,,,,,,686.4671630859375,686.4671630859375,,,,,,0.0,0.0,0.0,,,,0.0
2021-08-31,686.803864385746,692.4791578977184,682.3309585915356,691.6614990234375,19760246,0.0,0.0,ICICIBANK.NS,0.007566765341184611,0.007538280971771518,0.007566765341184611,,,,,686.9618617466518,686.6708625344669,,,,,,0.41436298076928324,0.08287259615385666,0.33149038461542657,,,,0.0
2021-09-01,699.8858486962628,706.8116139838213,689.8820176900919,692.4791870117188,13729351,0.0,0.0,ICICIBANK.NS,0.001182208333752488,0.0011815100757503949,0.008757919167982964,,,,,687.4873212957059,686.8986399649474,,,,,,0.7995129279497633,0.226200662513038,0.5733122654367253,,,,0.0
2021-09-02,694.7876956272153,700.3186790376726,690.1705386092486,697.5291748046875,8627956,0.0,0.0,ICICIBANK.NS,0.007292620323740229,0.007266157744625679,0.01611440767104133,,,,,688.4436882965614,687.3155236841529,,,,,,1.4950053552031477,0.47996160105106,1.0150437541520878,,,,0.0
2021-09-03,697.1444191847074,703.925874369514,693.6334234618353,696.7115478515625,8993813,0.0,0.0,ICICIBANK.NS,-0.0011721759930026776,-0.0011728635286096334,0.0149233427562252,,,,,689.2311034922758,687.6839952201298,,,,,,1.957645928953525,0.7754984666315531,1.1821474623219719,,,,-0.0011721759930026449
2021-09-06,697.7695752407411,700.2705178919373,692.5752374755424,693.6814575195312,5329995,0.0,0.0,ICICIBANK.NS,-0.00434913177680929,-0.0043586167613707824,0.010509307395218492,,,,,689.6549467329668,687.9191898201062,,,,,,2.056087651941084,1.0316163036934594,1.0244713482476246,,,,-0.005516209821952802
2021-09-07,693.4410856184164,694.9320346841002,684.5434162818343,689.5934448242188,6242711,0.0,0.0,ICICIBANK.NS,-0.005893213161456634,-0.005910646668799506,0.004554160645102501,,,,,689.6490894083241,687.9848468790912,,,,,,1.7836738848330924,1.182027819921386,0.6016460649117064,,,,-0.011376914783085315
2021-09-08,689.2085631658193,695.2205010859677,687.7656980649837,693.4890747070312,7118011,0.0,0.0,ICICIBANK.NS,0.005649168958973272,0.005633272244726725,0.01022905682702624,,,,,690.0148022939152,688.2006989507751,,,,,,1.86068002507443,1.3177582609519949,0.5429217641224351,,,,-0.005792015937953424
2021-09-09,693.344834746782,696.3267914825784,690.266710478682,692.8157958984375,6243422,0.0,0.0,ICICIBANK.NS,-0.0009708571239974706,-0.0009713287110288722,0.009248268750336575,,,,,690.2815635895839,688.3816831448011,,,,,,1.8460992895343225,1.4234264666684604,0.42267282286586205,,,,-0.0067572498420152465
2021-09-13,690.555379711491,690.555379711491,678.3391080110895,680.455322265625,6967906,0.0,0.0,ICICIBANK.NS,-0.01784092352684241,-0.018001991411821665,-0.0087576524320363,,,,,689.3457310825403,688.0708454632647,,,,,,0.8276167791343596,1.3042645291616402,-0.47664775002728055,,,,-0.02447761779117452
2021-09-14,686.0823626044692,686.8037951624129,679.5894695829758,680.5032958984375,5241865,0.0,0.0,ICICIBANK.NS,7.05022523048715e-05,7.049976713788737e-05,-0.008687767613952846,,,,,688.50359439834,687.7740788136637,,,,,,0.024055822559603257,1.048222787841233,-1.0241669652816296,,,,-0.024408841266055074
2021-09-15,680.1665938172648,688.727617010042,679.3970774956327,687.1404418945312,5936741,0.0,0.0,ICICIBANK.NS,0.009753290007700866,0.009706033695939352,0.0009807880766896648,,,,,688.3737703503582,687.749230307031,,,,,,-0.07632992803212346,0.8233122446665617,-0.8996421726986852,,,,-0.014893617765973961
2021-09-16,692.5752731243462,701.6172515631584,685.6975924140474,699.5010375976562,13557169,0.0,0.0,ICICIBANK.NS,0.017988456143034348,0.01782857832241909,0.018986887083027204,,,,,689.4335100881962,688.2100854948986,,,,,,0.8319205505630407,0.8250339058458576,0.0068866447171831435,,,,0.0
2021-09-17,704.984020781181,706.4268861051619,686.8038942148861,692.7196655273438,17075003,0.0,0.0,ICICIBANK.NS,-0.009694584719419752,-0.00974188314651484,0.009108232378223002,,,,,689.7464772728769,688.3869317706808,,,,,55.06240975072669,0.9930680760406858,0.8586407398848233,0.13442733615586255,11.374591618680824,,,-0.009694584719419752
2021-09-20,682.9561767578125,692.9600653662858,679.589491379429,682.9561767578125,7943459,0.0,0.0,ICICIBANK.NS,-0.01409442990491494,-0.014194699660447334,-0.005114572869504452,,,,,689.0997819857279,688.1739609858624,,,,,47.05126721737493,0.3291524397309331,0.7527430798540453,-0.4235906401231122,11.360853413356738,,,-0.023652374979549546
2021-09-21,684.0624276357428,687.2848031587205,667.9504326001814,684.7357177734375,10009615,0.0,0.0,ICICIBANK.NS,0.0026056445145177243,0.0026022557082562266,-0.002522255113728278,,,,,688.6841568226525,688.0391279187086,,,,,48.52139033971055,-0.052802720686713656,0.5916339197458935,-0.6444366404326072,12.017008502810752,,,-0.021108360146152586
2021-09-22,687.7657864853312,687.7657864853312,675.5014315515018,676.5595092773438,9740470,0.0,0.0,ICICIBANK.NS,-0.01194067767149698,-0.012012540194154167,-0.014432815349906924,,,,,687.529428485004,687.5889467955178,,,,,42.660629067021986,-1.0036867552242938,0.27256978475185606,-1.2762565399761499,11.683776977103605,,,-0.0327969896929705
2021-09-23,683.918114315017,692.5753056354603,680.2147837342951,689.6895751953125,10412491,0.0,0.0,ICICIBANK.NS,0.019407111625691975,0.019221195185218577,0.004694197017216517,,,,,687.7351567431286,687.6713243798235,,,,,52.5686310786786,-0.6898306776568006,0.08008969227012472,-0.7699203699269254,12.10289525779593,,,-0.014026372907236734
2021-09-24,695.0762600840396,697.0000804094428,689.2567153417624,695.4129638671875,11780868,0.0,0.0,ICICIBANK.NS,0.008298499611588683,0.008264256378227069,0.013031651420929213,,,,,688.4663764692295,687.9749180852104,,,,,56.1273830364929,0.02049589457737966,0.0681709327315757,-0.04767503815419605,11.920817697796053,,,-0.005844271145770846
2021-09-27,696.9038912420403,703.8777397051249,694.7876772077269,702.1943969726562,7712240,0.0,0.0,ICICIBANK.NS,0.009751663339373495,0.009704422738437442,0.022910395037715636,690.3148223876954,,,,689.7738069933654,688.5325447082475,690.3148223876954,703.9117734998821,676.7178712755086,0.03939347865994509,59.96067366756047,1.1177550134924559,0.27808774888375176,0.8396672646087041,12.020444989296275,,,0.0
2021-09-28,706.1381917820847,707.3887218995771,679.6856636254017,689.8338623046875,13491800,0.0,0.0,ICICIBANK.NS,-0.0176027247173407,-0.017759495124600296,0.00490438494336054,690.4831573486329,,,,689.7795265468246,688.5835767708531,690.4831573486329,703.9623907733984,677.0039239238673,0.03904290287549974,51.18256915200723,0.9786674549297913,0.41820369009295966,0.5604637648368317,13.257190694432666,,,-0.01760272471734074
2021-09-29,680.4070895159849,684.8319112266702,674.5875451208484,682.4752197265625,11453404,0.0,0.0,ICICIBANK.NS,-0.010667267845536399,-0.010724571023742916,-0.0058151992899843075,690.0238433837891,,,,689.0838782782283,688.3440333573516,690.0238433837891,703.952574951513,676.0951118160651,0.0403717399080566,46.790796802451965,0.2715285927876039,0.38886867063188857,-0.11734007784428468,13.813727420350883,,,-0.02808221958350605
2021-09-30,682.5713763733572,686.7076367285839,672.1827591435228,674.1546630859375,18487517,0.0,0.0,ICICIBANK.NS,-0.012191734439762736,-0.012266663265108623,-0.01793603636428931,689.1076171875,,,,687.662048259915,687.7875874643549,689.1076171875,704.6711250237059,673.544109351294,0.045170035704223815,42.3643279256671,-0.9493400322771777,0.12122693005007534,-1.070566962327253,14.418355747576925,,,-0.039931583059627615
2021-10-01,666.6037196580726,668.3832299132855,661.6980014823853,665.9784545898438,10935810,0.0,0.0,ICICIBANK.NS,-0.012128090101264366,-0.012202235490501227,-0.029846596600468067,687.5300811767578,,,,685.5969441008606,686.932327351629,687.5300811767578,705.680454925334,669.3797074281816,0.052798777087718025,38.50914403012882,-2.5472755013779533,-0.41247355623553045,-2.134801945142423,14.274068155877226,,,-0.05157537932365867
2021-10-04,670.4993788477985,676.5594003324971,667.6136487398155,673.5294189453125,8976533,0.0,0.0,ICICIBANK.NS,0.011338151111989214,0.011274356035930692,-0.01884685071091352,686.3709747314454,,,,684.4476559908084,686.406723100401,686.3709747314454,705.0069330511701,667.7350164117206,0.054302874118522845,43.61257437117554,-3.1678343334123156,-0.9635457116708877,-2.204288621741428,14.514541024678383,,,-0.04082199765609918
2021-10-05,666.6037382305285,672.3751991675894,665.4975180667906,670.5475463867188,7497208,0.0,0.0,ICICIBANK.NS,-0.004427234319271611,-0.0044370635427092,-0.023190645605907556,685.2142791748047,,,,683.1238360285141,685.7847946018253,685.2142791748047,704.787885520944,665.6406728286654,0.05713134399274792,42.12571372675697,-3.85579664998329,-1.5419958993333682,-2.313800750649922,14.421781122115005,,,-0.04506850342636648
2021-10-06,670.0665375889104,678.1466057371454,662.1307794366672,663.2369995117188,13200810,0.0,0.0,ICICIBANK.NS,-0.01090235422438468,-0.010962220407392856,-0.03384016719720451,683.8964569091797,,,,681.2298515983431,684.9005673433898,683.8964569091797,705.6556143510171,662.1372994673424,0.06363290004506326,38.64699183786911,-4.934035290886754,-2.2204037776440453,-2.713631513242709,14.428650204355515,,,-0.05547950486203398
2021-10-07,670.9804024964559,678.0985609750206,667.0365944296218,675.4533081054688,10041549,0.0,0.0,ICICIBANK.NS,0.018419220584412255,0.01825164139836967,-0.01604425611701099,682.9946685791016,,,,680.6797045990216,684.5300865889615,682.9946685791016,704.5741102157458,661.4152269424574,0.06319065910584037,46.5849831548601,-4.748060488778037,-2.7259351198708437,-2.0221253689071936,14.088548031000235,,,-0.0380821735155896
